2020-04-10 14:38:50.449[main][main] INFO  c.m.g.d.MybatisGeneratorDemoApplication - Starting MybatisGeneratorDemoApplication on DESKTOP-7FGB2I0 with PID 7432 (E:\java\mybatis-generator-demo\target\classes started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 14:38:50.451[main][main] INFO  c.m.g.d.MybatisGeneratorDemoApplication - No active profile set, falling back to default profiles: default
2020-04-10 14:38:50.761[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 14:38:50.928[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 14:38:51.020[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 14:38:51.232[main][main] INFO  c.m.g.d.MybatisGeneratorDemoApplication - Started MybatisGeneratorDemoApplication in 1.145 seconds (JVM running for 2.494)
2020-04-10 14:38:51.236[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 14:38:51.250[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-10 14:39:09.495[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-10 14:39:09.499[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 14:39:09.500[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-10 14:39:09.601[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.generator.demo.MybatisGeneratorDemoApplication for test class com.mybatis.generator.demo.mapper.MessageMapperTest
2020-04-10 14:39:09.713[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
